"Section","Catchline","Definiendum","Definition","Scope"
"7 U.S. Code § 1a","Definitions","Eligible contract participant","The term “eligible contract participant” means—
(A) acting for its own account—
(i) a financial institution;
(ii) an insurance company that is regulated by a State, or that is regulated by a foreign government and is subject to comparable regulation as determined by the Commission, including a regulated subsidiary or affiliate of such an insurance company;
(iii) an investment company subject to regulation under the Investment Company Act of 1940 (15 U.S.C. 80a–1 et seq.) or a foreign person performing a similar role or function subject as such to foreign regulation (regardless of whether each investor in the investment company or the foreign person is itself an eligible contract participant);
(iv) a commodity pool that—
(I) has total assets exceeding $5,000,000; and
(II) is formed and operated by a person subject to regulation under this chapter or a foreign person performing a similar role or function subject as such to foreign regulation (regardless of whether each investor in the commodity pool or the foreign person is itself an eligible contract participant) provided, however, that for purposes of section 2 (c)(2)(B)(vi) of this title and section 2 (c)(2)(C)(vii) of this title, the term “eligible contract participant” shall not include a commodity pool in which any participant is not otherwise an eligible contract participant;
(v) a corporation, partnership, proprietorship, organization, trust, or other entity—
(I) that has total assets exceeding $10,000,000;
(II) the obligations of which under an agreement, contract, or transaction are guaranteed or otherwise supported by a letter of credit or keepwell, support, or other agreement by an entity described in subclause (I), in clause (i), (ii), (iii), (iv), or (vii), or in subparagraph (C); or
(III) that—
(aa) has a net worth exceeding $1,000,000; and
(bb) enters into an agreement, contract, or transaction in connection with the conduct of the entity’s business or to manage the risk associated with an asset or liability owned or incurred or reasonably likely to be owned or incurred by the entity in the conduct of the entity’s business;
(vi) an employee benefit plan subject to the Employee Retirement Income Security Act of 1974 (29 U.S.C. 1001 et seq.), a governmental employee benefit plan, or a foreign person performing a similar role or function subject as such to foreign regulation—
(I) that has total assets exceeding $5,000,000; or
(II) the investment decisions of which are made by—
(aa) an investment adviser or commodity trading advisor subject to regulation under the Investment Advisers Act of 1940 (15 U.S.C. 80b–1 et seq.) or this chapter;
(bb) a foreign person performing a similar role or function subject as such to foreign regulation;
(cc) a financial institution; or
(dd) an insurance company described in clause (ii), or a regulated subsidiary or affiliate of such an insurance company;
(vii)
(I) a governmental entity (including the United States, a State, or a foreign government) or political subdivision of a governmental entity;
(II) a multinational or supranational government entity; or
(III) an instrumentality, agency, or department of an entity described in subclause (I) or (II);
 except that such term does not include an entity, instrumentality, agency, or department referred to in subclause (I) or (III) of this clause unless (aa) the entity, instrumentality, agency, or department is a person described in clause (i), (ii), or (iii) of paragraph (17)(A); (bb) the entity, instrumentality, agency, or department owns and invests on a discretionary basis $50,000,000 or more in investments; or (cc) the agreement, contract, or transaction is offered by, and entered into with, an entity that is listed in any of subclauses (I) through (VI) of section 2 (c)(2)(B)(ii) of this title;
(viii)
(I) a broker or dealer subject to regulation under the Securities Exchange Act of 1934 (15 U.S.C. 78a et seq.) or a foreign person performing a similar role or function subject as such to foreign regulation, except that, if the broker or dealer or foreign person is a natural person or proprietorship, the broker or dealer or foreign person shall not be considered to be an eligible contract participant unless the broker or dealer or foreign person also meets the requirements of clause (v) or (xi);
(II) an associated person of a registered broker or dealer concerning the financial or securities activities of which the registered person makes and keeps records under section 15C(b) or 17(h) of the Securities Exchange Act of 1934 (15 U.S.C. 78o–5 (b), 78q (h));
(III) an investment bank holding company (as defined in section 17(i)  [2] of the Securities Exchange Act of 1934 (15 U.S.C. 78q (i));  [3]
(ix) a futures commission merchant subject to regulation under this chapter or a foreign person performing a similar role or function subject as such to foreign regulation, except that, if the futures commission merchant or foreign person is a natural person or proprietorship, the futures commission merchant or foreign person shall not be considered to be an eligible contract participant unless the futures commission merchant or foreign person also meets the requirements of clause (v) or (xi);
(x) a floor broker or floor trader subject to regulation under this chapter in connection with any transaction that takes place on or through the facilities of a registered entity (other than an electronic trading facility with respect to a significant price discovery contract) or an exempt board of trade, or any affiliate thereof, on which such person regularly trades; or
(xi) an individual who has amounts invested on a discretionary basis, the aggregate of which is in excess of—
(I) $10,000,000; or
(II) $5,000,000 and who enters into the agreement, contract, or transaction in order to manage the risk associated with an asset owned or liability incurred, or reasonably likely to be owned or incurred, by the individual;
(B)
(i) a person described in clause (i), (ii), (iv), (v), (viii), (ix), or (x) of subparagraph (A) or in subparagraph (C), acting as broker or performing an equivalent agency function on behalf of another person described in subparagraph (A) or (C); or
(ii) an investment adviser subject to regulation under the Investment Advisers Act of 1940 [15 U.S.C. 80b–1 et seq.], a commodity trading advisor subject to regulation under this chapter, a foreign person performing a similar role or function subject as such to foreign regulation, or a person described in clause (i), (ii), (iv), (v), (viii), (ix), or (x) of subparagraph (A) or in subparagraph (C), in any such case acting as investment manager or fiduciary (but excluding a person acting as broker or performing an equivalent agency function) for another person described in subparagraph (A) or (C) and who is authorized by such person to commit such person to the transaction; or
(C) any other person that the Commission determines to be eligible in light of the financial or other qualifications of the person.","As used in this chapter:"
"7 U.S. Code § 1a","Definitions","Excluded commodity","The term “excluded commodity” means—
(i) an interest rate, exchange rate, currency, security, security index, credit risk or measure, debt or equity instrument, index or measure of inflation, or other macroeconomic index or measure;
(ii) any other rate, differential, index, or measure of economic or commercial risk, return, or value that is—
(I) not based in substantial part on the value of a narrow group of commodities not described in clause (i); or
(II) based solely on one or more commodities that have no cash market;
(iii) any economic or commercial index based on prices, rates, values, or levels that are not within the control of any party to the relevant contract, agreement, or transaction; or
(iv) an occurrence, extent of an occurrence, or contingency (other than a change in the price, rate, value, or level of a commodity not described in clause (i)) that is—
(I) beyond the control of the parties to the relevant contract, agreement, or transaction; and
(II) associated with a financial, commercial, or economic consequence.","As used in this chapter:"
"7 U.S. Code § 1a","Definitions","Exempt commodity","The term “exempt commodity” means a commodity that is not an excluded commodity or an agricultural commodity.","As used in this chapter:"
"7 U.S. Code § 1a","Definitions","Financial institution","The term “financial institution” means—
(A) a corporation operating under the fifth undesignated paragraph of section 25 of the Federal Reserve Act (12 U.S.C. 603), commonly known as “an agreement corporation”;
(B) a corporation organized under section 25A of the Federal Reserve Act (12 U.S.C. 611 et seq.), commonly known as an “Edge Act corporation”;
(C) an institution that is regulated by the Farm Credit Administration;
(D) a Federal credit union or State credit union (as defined in section 1752 of title 12);
(E) a depository institution (as defined in section 1813 of title 12);
(F) a foreign bank or a branch or agency of a foreign bank (each as defined in section 3101 of title 12);
(G) any financial holding company (as defined in section 1841 of title 12);
(H) a trust company; or
(I) a similarly regulated subsidiary or affiliate of an entity described in any of subparagraphs (A) through (H).","As used in this chapter:"
"7 U.S. Code § 1a","Definitions","Floor broker","(A) In general
The term “floor broker” means any person—
(i) who, in or surrounding any pit, ring, post, or other place provided by a contract market for the meeting of persons similarly engaged, shall purchase or sell for any other person—
(I) any commodity for future delivery, security futures product, or swap; or
(II) any commodity option authorized under section 6c of this title; or
(ii) who is registered with the Commission as a floor broker.
(B) Further definition
The Commission, by rule or regulation, may include within, or exclude from, the term “floor broker” any person in or surrounding any pit, ring, post, or other place provided by a contract market for the meeting of persons similarly engaged who trades for any other person if the Commission determines that the rule or regulation will effectuate the purposes of this chapter.","As used in this chapter:"
"7 U.S. Code § 1a","Definitions","Floor trader","(A) In general
The term “floor trader” means any person—
(i) who, in or surrounding any pit, ring, post, or other place provided by a contract market for the meeting of persons similarly engaged, purchases, or sells solely for such person’s own account—
(I) any commodity for future delivery, security futures product, or swap; or
(II) any commodity option authorized under section 6c of this title; or
(ii) who is registered with the Commission as a floor trader.
(B) Further definition
The Commission, by rule or regulation, may include within, or exclude from, the term “floor trader” any person in or surrounding any pit, ring, post, or other place provided by a contract market for the meeting of persons similarly engaged who trades solely for such person’s own account if the Commission determines that the rule or regulation will effectuate the purposes of this chapter.","As used in this chapter:"
"7 U.S. Code § 1a","Definitions","Foreign exchange forward","The term “foreign exchange forward” means a transaction that solely involves the exchange of 2 different currencies on a specific future date at a fixed rate agreed upon on the inception of the contract covering the exchange.","As used in this chapter:"
"7 U.S. Code § 1a","Definitions","Foreign exchange swap","The term “foreign exchange swap” means a transaction that solely involves—
(A) an exchange of 2 different currencies on a specific date at a fixed rate that is agreed upon on the inception of the contract covering the exchange; and
(B) a reverse exchange of the 2 currencies described in subparagraph (A) at a later date and at a fixed rate that is agreed upon on the inception of the contract covering the exchange.","As used in this chapter:"
"7 U.S. Code § 1a","Definitions","Foreign futures authority","The term “foreign futures authority” means any foreign government, or any department, agency, governmental body, or regulatory organization empowered by a foreign government to administer or enforce a law, rule, or regulation as it relates to a futures or options matter, or any department or agency of a political subdivision of a foreign government empowered to administer or enforce a law, rule, or regulation as it relates to a futures or options matter.","As used in this chapter:"
"7 U.S. Code § 1a","Definitions","Future delivery","The term “future delivery” does not include any sale of any cash commodity for deferred shipment or delivery.","As used in this chapter:"
"7 U.S. Code § 1a","Definitions","Futures commission merchant","(A) In general
The term “futures commission merchant” means an individual, association, partnership, corporation, or trust—
(i) that—
(I) is—
(aa) engaged in soliciting or in accepting orders for—
(AA) the purchase or sale of a commodity for future delivery;
(BB) a security futures product;
(CC) a swap;
(DD) any agreement, contract, or transaction described in section 2 (c)(2)(C)(i) of this title or section 2 (c)(2)(D)(i) of this title;
(EE) any commodity option authorized under section 6c of this title; or
(FF) any leverage transaction authorized under section 23 of this title; or
(bb) acting as a counterparty in any agreement, contract, or transaction described in section 2 (c)(2)(C)(i) of this title or section 2 (c)(2)(D)(i) of this title; and
(II) in or in connection with the activities described in items (aa) or (bb) of subclause (I), accepts any money, securities, or property (or extends credit in lieu thereof) to margin, guarantee, or secure any trades or contracts that result or may result therefrom; or
(ii) that is registered with the Commission as a futures commission merchant.
(B) Further definition
The Commission, by rule or regulation, may include within, or exclude from, the term “futures commission merchant” any person who engages in soliciting or accepting orders for, or acting as a counterparty in, any agreement, contract, or transaction subject to this chapter, and who accepts any money, securities, or property (or extends credit in lieu thereof) to margin, guarantee, or secure any trades or contracts that result or may result therefrom, if the Commission determines that the rule or regulation will effectuate the purposes of this chapter.","As used in this chapter:"
"7 U.S. Code § 1a","Definitions","Hybrid instrument","The term “hybrid instrument” means a security having one or more payments indexed to the value, level, or rate of, or providing for the delivery of, one or more commodities.","As used in this chapter:"
"7 U.S. Code § 1a","Definitions","Interstate commerce","The term “interstate commerce” means commerce—
(A) between any State, territory, or possession, or the District of Columbia, and any place outside thereof; or
(B) between points within the same State, territory, or possession, or the District of Columbia, but through any place outside thereof, or within any territory or possession, or the District of Columbia.","As used in this chapter:"
"7 U.S. Code § 1a","Definitions","Introducing broker","(A) In general
The term “introducing broker” means any person (except an individual who elects to be and is registered as an associated person of a futures commission merchant)—
(i) who—
(I) is engaged in soliciting or in accepting orders for—
(aa) the purchase or sale of any commodity for future delivery, security futures product, or swap;
(bb) any agreement, contract, or transaction described in section 2 (c)(2)(C)(i) of this title or section 2 (c)(2)(D)(i) of this title;
(cc) any commodity option authorized under section 6c of this title; or
(dd) any leverage transaction authorized under section 23 of this title; and
(II) does not accept any money, securities, or property (or extend credit in lieu thereof) to margin, guarantee, or secure any trades or contracts that result or may result therefrom; or
(ii) who is registered with the Commission as an introducing broker.
(B) Further definition
The Commission, by rule or regulation, may include within, or exclude from, the term “introducing broker” any person who engages in soliciting or accepting orders for any agreement, contract, or transaction subject to this chapter, and who does not accept any money, securities, or property (or extend credit in lieu thereof) to margin, guarantee, or secure any trades or contracts that result or may result therefrom, if the Commission determines that the rule or regulation will effectuate the purposes of this chapter.","As used in this chapter:"
"7 U.S. Code § 1a","Definitions","Major security-based swap participant","The term “major security-based swap participant” has the meaning given the term in section 3(a) of the Securities Exchange Act of 1934 (15 U.S.C. 78c (a)).","As used in this chapter:"
"7 U.S. Code § 1a","Definitions","Major swap participant","(A) In general
The term “major swap participant” means any person who is not a swap dealer, and—
(i) maintains a substantial position in swaps for any of the major swap categories as determined by the Commission, excluding—
(I) positions held for hedging or mitigating commercial risk; and
(II) positions maintained by any employee benefit plan (or any contract held by such a plan) as defined in paragraphs (3) and (32) of section 3 of the Employee Retirement Income Security Act of 1974 (29 U.S.C. 1002) for the primary purpose of hedging or mitigating any risk directly associated with the operation of the plan;
(ii) whose outstanding swaps create substantial counterparty exposure that could have serious adverse effects on the financial stability of the United States banking system or financial markets; or
(iii)
(I) is a financial entity that is highly leveraged relative to the amount of capital it holds and that is not subject to capital requirements established by an appropriate Federal banking agency; and
(II) maintains a substantial position in outstanding swaps in any major swap category as determined by the Commission.
(B) Definition of substantial position
For purposes of subparagraph (A), the Commission shall define by rule or regulation the term “substantial position” at the threshold that the Commission determines to be prudent for the effective monitoring, management, and oversight of entities that are systemically important or can significantly impact the financial system of the United States. In setting the definition under this subparagraph, the Commission shall consider the person’s relative position in uncleared as opposed to cleared swaps and may take into consideration the value and quality of collateral held against counterparty exposures.
(C) Scope of designation
For purposes of subparagraph (A), a person may be designated as a major swap participant for 1 or more categories of swaps without being classified as a major swap participant for all classes of swaps.
(D) Exclusions
The definition under this paragraph shall not include an entity whose primary business is providing financing, and uses derivatives for the purpose of hedging underlying commercial risks related to interest rate and foreign currency exposures, 90 percent or more of which arise from financing that facilitates the purchase or lease of products, 90 percent or more of which are manufactured by the parent company or another subsidiary of the parent company.","As used in this chapter:"
